patch_id,seed,family,level,frac,method,true_label,prediction,confidence,correct,bounded_unknown,isolated_missing_frac,mask_overlap_centre,centre_erased_frac
17222,0,CF3,L5,0.7,ns,8,8,0.434704065322876,1,False,0.9545454545454546,0.3181818181818182,0.875
7987,0,CF3,L5,0.7,ns,4,3,0.206076979637146,0,False,0.9545454545454546,0.3181818181818182,0.875
14403,0,CF3,L5,0.7,ns,1,1,0.32002511620521545,1,False,0.9545454545454546,0.3181818181818182,0.875
12904,0,CF3,L5,0.7,ns,1,7,0.5188722610473633,0,False,0.9545454545454546,0.3181818181818182,0.875
1024,0,CF3,L5,0.7,ns,2,2,0.9068599939346313,1,False,0.9545454545454546,0.3181818181818182,0.875
15700,0,CF3,L5,0.7,ns,3,8,0.5436583757400513,0,False,0.9545454545454546,0.3181818181818182,0.875
12639,0,CF3,L5,0.7,ns,7,1,0.36073604226112366,0,False,0.9545454545454546,0.3181818181818182,0.875
20658,0,CF3,L5,0.7,ns,4,1,0.4509047269821167,0,False,0.9545454545454546,0.3181818181818182,0.875
2642,0,CF3,L5,0.7,ns,7,2,0.402944952249527,0,False,0.9545454545454546,0.3181818181818182,0.875
9392,0,CF3,L5,0.7,ns,9,2,0.4221664071083069,0,False,0.9545454545454546,0.3181818181818182,0.875
23357,0,CF3,L5,0.7,ns,5,9,0.44104328751564026,0,False,0.9545454545454546,0.3181818181818182,0.875
15977,0,CF3,L5,0.7,ns,0,2,0.5042724013328552,0,False,0.9545454545454546,0.3181818181818182,0.875
10440,0,CF3,L5,0.7,ns,0,2,0.5115775465965271,0,False,0.9545454545454546,0.3181818181818182,0.875
14216,0,CF3,L5,0.7,ns,3,0,0.4770399332046509,0,False,0.9545454545454546,0.3181818181818182,0.875
18353,0,CF3,L5,0.7,ns,7,2,0.7662487626075745,0,False,0.9545454545454546,0.3181818181818182,0.875
17404,0,CF3,L5,0.7,ns,3,2,0.49309176206588745,0,False,0.9545454545454546,0.3181818181818182,0.875
8424,0,CF3,L5,0.7,ns,8,4,0.3720948398113251,0,False,0.9545454545454546,0.3181818181818182,0.875
4744,0,CF3,L5,0.7,ns,8,8,0.5202413201332092,1,False,0.9545454545454546,0.3181818181818182,0.875
18797,0,CF3,L5,0.7,ns,7,7,0.5846028923988342,1,False,0.9545454545454546,0.3181818181818182,0.875
3156,0,CF3,L5,0.7,ns,7,2,0.5584765076637268,0,False,0.9545454545454546,0.3181818181818182,0.875
17024,0,CF3,L5,0.7,ns,2,2,0.8729891777038574,1,False,0.9545454545454546,0.3181818181818182,0.875
7807,0,CF3,L5,0.7,ns,8,8,0.9174420237541199,1,False,0.9545454545454546,0.3181818181818182,0.875
138,0,CF3,L5,0.7,ns,0,0,0.6772788763046265,1,False,0.9545454545454546,0.3181818181818182,0.875
20222,0,CF3,L5,0.7,ns,2,2,0.9897236824035645,1,False,0.9545454545454546,0.3181818181818182,0.875
24734,0,CF3,L5,0.7,ns,9,2,0.5943317413330078,0,False,0.9545454545454546,0.3181818181818182,0.875
