patch_id,seed,family,level,frac,method,true_label,prediction,confidence,correct,bounded_unknown,isolated_missing_frac,mask_overlap_centre,centre_erased_frac
17222,0,CF4,L2,0.15,zero_fill,8,8,0.9442946910858154,1,False,0.8,0.0,0.0
7987,0,CF4,L2,0.15,zero_fill,4,2,0.42650771141052246,0,False,0.8,0.0,0.0
14403,0,CF4,L2,0.15,zero_fill,1,1,0.6512859463691711,1,False,0.8,0.0,0.0
12904,0,CF4,L2,0.15,zero_fill,1,1,0.4782011806964874,1,False,0.8,0.0,0.0
1024,0,CF4,L2,0.15,zero_fill,2,2,0.6763922572135925,1,False,0.8,0.0,0.0
15700,0,CF4,L2,0.15,zero_fill,3,0,0.9999994039535522,0,False,0.8,0.0,0.0
12639,0,CF4,L2,0.15,zero_fill,7,7,0.4692608416080475,1,False,0.8,0.0,0.0
20658,0,CF4,L2,0.15,zero_fill,4,2,0.39443695545196533,0,False,0.8,0.0,0.0
2642,0,CF4,L2,0.15,zero_fill,7,1,0.421780526638031,0,False,0.8,0.0,0.0
9392,0,CF4,L2,0.15,zero_fill,9,9,0.5836194753646851,1,False,0.8,0.0,0.0
23357,0,CF4,L2,0.15,zero_fill,5,6,0.8661813735961914,0,False,0.8,0.0,0.0
15977,0,CF4,L2,0.15,zero_fill,0,0,0.9218758344650269,1,False,0.8,0.0,0.0
10440,0,CF4,L2,0.15,zero_fill,0,0,0.999658465385437,1,False,0.8,0.0,0.0
14216,0,CF4,L2,0.15,zero_fill,3,1,0.8755387663841248,0,False,0.8,0.0,0.0
18353,0,CF4,L2,0.15,zero_fill,7,7,0.5881664156913757,1,False,0.8,0.0,0.0
17404,0,CF4,L2,0.15,zero_fill,3,2,0.5455381274223328,0,False,0.8,0.0,0.0
8424,0,CF4,L2,0.15,zero_fill,8,8,0.5483949780464172,1,False,0.8,0.0,0.0
4744,0,CF4,L2,0.15,zero_fill,8,6,0.6446534395217896,0,False,0.8,0.0,0.0
18797,0,CF4,L2,0.15,zero_fill,7,7,0.9902992248535156,1,False,0.8,0.0,0.0
3156,0,CF4,L2,0.15,zero_fill,7,7,0.8685408234596252,1,False,0.8,0.0,0.0
